IID	E
S0001	0.444545761768039
S0002	1.10844893150026
S0003	-2.48956447619261
S0004	-0.630112257879187
S0005	-0.210523096815873
S0006	0.117170017491476
S0007	1.13423924426529
S0008	-0.217112771888673
S0009	-0.175423188371297
S0010	0.38755083862707
S0011	-0.490292531865404
S0012	0.542375102560027
S0013	1.34423970420772
S0014	0.41308674610843
S0015	-0.221014206650791
S0016	1.95456773634233
S0017	-1.83658759819234
S0018	0.278135694352921
S0019	0.167589089283039
S0020	-0.413137303526682
S0021	-1.48075103725061
S0022	0.297596812714382
S0023	0.354475912933695
S0024	-1.64181036942387
S0025	-1.61848673993912
S0026	-0.985948424696951
S0027	-0.16218879927794
S0028	2.15477608545181
S0029	1.7211626485696
S0030	-0.619211737025438
S0031	0.220230387760918
S0032	-0.383225932918989
S0033	0.741383114575682
S0034	2.11677626446191
S0035	-0.703416129856102
S0036	0.201470851579839
S0037	-0.00461616569037745
S0038	-1.16934225685203
S0039	0.531051663753373
S0040	-0.281341574381453
S0041	1.11365040742803
S0042	0.737791104186942
S0043	1.2014641797235
S0044	0.303035570030167
S0045	-1.28981641488108
S0046	-0.734487009851336
S0047	-2.2014561298866
S0048	1.98064868025723
S0049	-1.02586012350954
S0050	-0.879402578765978
S0051	-0.192251834478791
S0052	-0.672904330431229
S0053	-1.02676953865237
S0054	0.719554176104517
S0055	1.71094295481449
S0056	0.494526276444384
S0057	-0.341816623802587
S0058	0.761905338476711
S0059	-1.84943584740617
S0060	-1.37540392593815
S0061	0.809422260708976
S0062	-0.915705748562506
S0063	-0.525931081681866
S0064	0.322957181505689
S0065	-0.0105020404312192
S0066	0.144003515601524
S0067	-0.00210510360682021
S0068	1.06813631576542
S0069	-1.06964244436732
S0070	0.25332296508503
S0071	1.61531694112263
S0072	0.507302625185044
S0073	1.8434924141864
S0074	0.863341353530364
S0075	-0.257790581086838
S0076	-0.854429696185979
S0077	-0.844602084202635
S0078	-1.97141464113132
S0079	-1.33181377990658
S0080	-0.322627632691772
S0081	-1.88869697604366
S0082	-0.083335608067351
S0083	0.943937212912702
S0084	0.377352363410199
S0085	-1.23244282871053
S0086	1.08278715670297
S0087	1.05544690556512
S0088	-0.979404739916506
S0089	-0.766974410246608
S0090	0.831040386835742
S0091	-0.816414386745126
S0092	-0.405979618345562
S0093	-0.028059564151093
S0094	-1.75156917596186
S0095	0.475793456540736
S0096	0.530245353693385
S0097	-1.09561197821269
S0098	-0.483980733407804
S0099	0.288058073511885
S0100	-0.831400298930223
S0101	-0.434047537892876
S0102	-0.794964524531678
S0103	-1.81822841374322
S0104	0.59286643635245
S0105	-0.111699842851059
S0106	0.424756708405247
S0107	-1.78592440786774
S0108	0.501260101683037
S0109	-0.182027116934984
S0110	1.40558696605406
S0111	0.337103384774599
S0112	-0.175757460602547
S0113	-0.283886085825008
S0114	-1.03267735300323
S0115	0.625229713798925
S0116	0.489526029464344
S0117	-1.73714208308112
S0118	0.85707391352506
S0119	2.02130724643761
S0120	0.028868655643507
