"IID","Y1","Y2","Ybin","Yord","E1","E2","E3","sex","age","FID"
"S0001",-1.93966944357231,-0.469585470509367,1,1,0.444545761768039,-0.321225974145285,-1.63266452133703,0,39.6,"F06"
"S0002",-0.629322245697419,1.11517831809807,0,1,1.10844893150026,1.57130887275206,1.04174873817237,0,45.6,"F10"
"S0003",-0.478214011849406,-0.44896186779449,0,0,-2.48956447619261,-1.72276621137782,1.15376817797675,1,46.1,"F11"
"S0004",0.634916269924527,-0.694745955040329,1,1,-0.630112257879187,-0.0223233517068387,0.891199089422865,0,51,"F02"
"S0005",0.988592189624469,-0.158226604285472,0,0,-0.210523096815873,0.502210528373245,-1.31460550479585,0,57.3,"F08"
"S0006",2.04123748901952,2.64562667424258,0,2,0.117170017491476,1.08548871073119,0.33932479363962,1,36.6,"F03"
"S0007",-1.8157031313495,-2.34164156834948,0,2,1.13423924426529,0.933774741603547,-0.699785753849125,0,47.5,"F15"
"S0008",0.433999960907217,0.304483901634397,0,2,-0.217112771888673,0.658748471292008,-0.628531253014464,1,24.3,"F20"
"S0009",0.0892305737430543,0.531380480498018,0,2,-0.175423188371297,-0.73199327510088,-0.442453192865358,1,49.4,"F15"
"S0010",0.400292107848414,-0.579326289532829,1,1,0.38755083862707,1.13695868082859,-0.60877462752067,0,30.6,"F20"
"S0011",1.02656602342822,0.751994388411544,0,1,-0.490292531865404,-0.341664971960212,-0.380158612101446,1,41,"F09"
"S0012",1.51839046453413,0.174987744139991,0,0,0.542375102560027,1.40674396200344,-0.565958076261455,0,37,"F09"
"S0013",0.875020629415037,-0.797412279208808,0,1,1.34423970420772,-0.675390984534156,-2.01761085971283,1,40.3,"F19"
"S0014",0.771905187087636,-1.3212561059655,1,2,0.41308674610843,0.189461131656074,0.191523011272511,1,25.4,"F05"
"S0015",-0.250574362864511,1.20856752474616,0,2,-0.221014206650791,0.248586391861731,0.0458348932168428,1,38.4,"F16"
"S0016",-1.08272644004589,-0.0563855698927408,0,0,1.95456773634233,-0.462794657206165,1.73673735567525,0,39.1,"F12"
"S0017",0.736817121391789,0.264394916015423,0,0,-1.83658759819234,-0.950137063161846,0.664127058228124,0,39.6,"F20"
"S0018",-1.0721229734075,0.215508231839749,1,1,0.278135694352921,1.0676748625668,-0.336369933505248,0,34.4,"F18"
